ts,dir,entry,exit,type,pnl,month
2025-11-20 14:10:00,SHORT,92827.63,90467.8,TP,2.6084750596344852,2025-11
2025-11-20 21:20:00,SHORT,86128.1,87436.71,SL,-1.4966368245099781,2025-11
2025-11-21 07:30:00,SHORT,87154.64,84962.79,TP,2.579776393877853,2025-11
2025-12-01 00:20:00,SHORT,90827.57,88556.01,TP,2.565111052315938,2025-12
2025-12-01 12:45:00,SHORT,87354.78,85031.47,TP,2.7322942905726455,2025-12
2025-12-01 22:05:00,SHORT,85408.0,86701.99,SL,-1.492457093545374,2025-12
2025-12-02 13:50:00,SHORT,86316.01,87611.28,SL,-1.4784283484957639,2025-12
2025-12-03 04:25:00,LONG,90897.99,93227.1,TP,2.562333886590884,2025-12
2025-12-03 14:00:00,LONG,93135.99,91700.0,SL,-1.5418207290221586,2025-12
2025-12-04 19:20:00,LONG,92540.06,91144.01,SL,-1.5085899014978033,2025-12
2025-12-05 16:15:00,SHORT,91195.26,88911.22,TP,2.5688996281908905,2025-12
2025-12-06 14:15:00,SHORT,88883.55,90217.53,SL,-1.4786261605698958,2025-12
2025-12-07 18:00:00,SHORT,89957.56,91327.98,SL,-1.5005478058312427,2025-12
2025-12-07 18:15:00,LONG,89413.2,91655.92,TP,2.508264998903975,2025-12
2025-12-07 21:45:00,LONG,91574.89,90191.2,SL,-1.5109928059973687,2025-12
2025-12-09 21:45:00,LONG,93905.36,92487.18,SL,-1.5102226326590973,2025-12
2025-12-11 00:40:00,LONG,92728.57,91333.34,SL,-1.5046387537303918,2025-12
2025-12-14 23:30:00,SHORT,90139.28,87880.69,TP,2.570064026579666,2025-12
2025-12-15 02:15:00,SHORT,88459.36,89788.47,SL,-1.4802680121400846,2025-12
2025-12-15 15:15:00,SHORT,89451.07,87188.16,TP,2.595432682602783,2025-12
2025-12-17 14:50:00,SHORT,87033.22,88350.0,SL,-1.4904131295981893,2025-12
2025-12-17 16:20:00,SHORT,88707.75,86482.76,TP,2.572755541104388,2025-12
