entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2025-05-26 00:30:00,2025-05-28 15:14:08,LONG,108815.99,107180.01,SL,-1.5034371327228735,2025-05
2025-05-30 00:05:00,2025-05-31 03:07:52,SHORT,105751.81,103106.53,TP,2.5655795030634865,2025-05
2025-05-31 03:10:00,2025-05-31 15:27:05,SHORT,103181.26,104774.76,SL,-1.520881555825082,2025-05
2025-05-31 15:45:00,2025-06-03 00:12:43,SHORT,104528.88,106100.0,SL,-1.4807917059377895,2025-05
2025-06-05 23:50:00,2025-06-06 06:11:52,SHORT,101604.8,103140.58,SL,-1.489016253350528,2025-06
2025-06-06 07:33:52,2025-06-06 14:40:26,SHORT,103168.0,104737.0,SL,-1.4980379426563717,2025-06
2025-06-10 00:05:00,2025-06-10 14:45:09,LONG,110164.35,108499.99,SL,-1.510797276977538,2025-06
2025-06-10 14:50:00,2025-06-12 11:28:10,LONG,108672.86,107035.34,SL,-1.506834365084353,2025-06
2025-06-13 00:00:00,2025-06-13 01:09:30,SHORT,105651.52,103000.0,TP,2.5742912621359304,2025-06
2025-06-13 01:16:00,2025-06-13 06:59:05,SHORT,103118.09,104676.58,SL,-1.4888621695512083,2025-06
2025-06-13 07:14:04,2025-06-13 23:41:36,SHORT,104388.15,105970.58,SL,-1.4932729442454717,2025-06
2025-06-14 18:35:00,2025-06-15 05:59:15,SHORT,104499.99,106077.03,SL,-1.486693207756662,2025-06
2025-06-17 00:55:00,2025-06-17 11:25:04,LONG,107190.22,105582.19,SL,-1.500164847128771,2025-06
2025-06-18 00:30:00,2025-06-20 08:05:22,SHORT,104417.52,105992.77,SL,-1.4861862747808208,2025-06
2025-06-20 19:50:00,2025-06-22 13:30:51,SHORT,103320.17,100711.95,TP,2.5897820467183807,2025-06
2025-06-22 13:57:44,2025-06-22 20:12:37,SHORT,100838.13,98316.41,TP,2.5649024410065335,2025-06
2025-06-22 20:15:00,2025-06-22 22:05:06,SHORT,98421.63,99909.64,SL,-1.489355781884505,2025-06
2025-06-23 00:05:00,2025-06-23 13:44:14,SHORT,100720.0,102239.2,SL,-1.485927119930508,2025-06
2025-06-24 04:20:42,2025-06-25 13:13:45,LONG,104800.0,107428.56,TP,2.508167938931294,2025-06
2025-06-25 13:15:00,2025-07-01 14:46:41,LONG,107430.07,105800.01,SL,-1.5173219192727072,2025-06
2025-07-02 12:55:00,2025-07-03 09:41:43,LONG,107390.7,110089.99,TP,2.513523051809896,2025-07
2025-07-03 09:45:00,2025-07-04 08:11:28,LONG,110260.85,108601.5,SL,-1.5049312607330778,2025-07
2025-07-06 23:07:20,2025-07-08 02:17:31,LONG,109123.22,107464.0,SL,-1.5205013195175199,2025-07
2025-07-08 08:00:00,2025-07-09 19:40:37,LONG,108488.98,111264.46,TP,2.5583059219471016,2025-07
2025-07-09 22:00:00,2025-07-10 17:31:40,LONG,110818.36,113648.12,TP,2.55351189098989,2025-07
2025-07-10 17:35:00,2025-07-10 21:19:30,LONG,113595.76,116632.54,TP,2.673321609891066,2025-07
2025-07-10 23:35:00,2025-07-11 09:36:09,LONG,115657.76,118552.87,TP,2.5031696965253314,2025-07
2025-07-11 09:40:00,2025-07-11 15:53:18,LONG,118783.94,116997.0,SL,-1.5043616165619667,2025-07
2025-07-16 21:00:00,2025-07-17 01:38:31,LONG,119929.0,118113.03,SL,-1.5142042375071885,2025-07
2025-07-27 04:55:00,2025-07-30 19:00:07,LONG,118216.71,116395.4,SL,-1.5406536013394478,2025-07
2025-08-01 03:55:00,2025-08-01 22:49:27,SHORT,115668.0,112773.69,TP,2.5664762765144955,2025-08
2025-08-01 22:50:00,2025-08-03 19:22:37,SHORT,112857.99,114553.49,SL,-1.4800945828887468,2025-08
2025-08-05 18:50:00,2025-08-06 14:58:37,SHORT,113422.54,115132.37,SL,-1.4850992818092768,2025-08
2025-08-08 00:05:00,2025-08-11 02:00:24,LONG,117434.0,120396.0,TP,2.522267827034752,2025-08
2025-08-11 02:05:02,2025-08-11 19:52:24,LONG,120620.48,118632.01,SL,-1.6485343119178486,2025-08
2025-08-11 21:35:00,2025-08-13 13:51:38,LONG,118618.44,121600.0,TP,2.5135720887915936,2025-08
2025-08-13 19:10:00,2025-08-14 12:33:46,LONG,121867.09,120033.95,SL,-1.5042124990430117,2025-08
2025-08-14 14:45:00,2025-08-14 18:22:32,LONG,119054.63,117200.01,SL,-1.5577890586867649,2025-08
2025-08-19 00:05:00,2025-08-19 16:50:42,SHORT,116281.35,113373.85,TP,2.5645243590122435,2025-08
2025-08-19 16:55:00,2025-08-22 14:14:45,SHORT,113480.0,115199.89,SL,-1.4929614950153214,2025-08
