ts,dir,entry,exit,type,pnl,month
2025-11-20 21:20:00,SHORT,86128.1,87436.71,SL,-1.4966368245099781,2025-11
2025-11-21 07:30:00,SHORT,87282.6,85100.01,TP,2.564735303791399,2025-11
2025-12-01 00:20:00,SHORT,90717.51,88447.45,TP,2.5665635357492,2025-12
2025-12-01 12:45:00,SHORT,87354.78,85031.47,TP,2.7322942905726455,2025-12
2025-12-01 22:05:00,SHORT,85408.0,86701.99,SL,-1.492457093545374,2025-12
2025-12-02 14:05:00,SHORT,86623.31,87939.67,SL,-1.496889856420891,2025-12
2025-12-03 02:00:00,LONG,90277.71,92544.51,TP,2.510918808197493,2025-12
2025-12-04 19:20:00,LONG,92580.59,91191.59,SL,-1.5003144827657744,2025-12
2025-12-05 16:15:00,SHORT,91195.26,88911.22,TP,2.5688996281908905,2025-12
2025-12-07 17:35:00,SHORT,89653.55,90999.99,SL,-1.4796045581983108,2025-12
2025-12-07 18:15:00,LONG,89413.2,91655.92,TP,2.508264998903975,2025-12
2025-12-07 21:50:00,LONG,91430.1,90055.95,SL,-1.5029514350307083,2025-12
2025-12-09 21:45:00,LONG,93845.85,92435.0,SL,-1.5033696215655867,2025-12
2025-12-11 00:35:00,LONG,92861.62,91446.09,SL,-1.5243434262723343,2025-12
2025-12-14 22:35:00,SHORT,90309.99,88033.14,TP,2.586355547467689,2025-12
2025-12-15 02:15:00,SHORT,88332.82,89661.01,SL,-1.481346239575021,2025-12
2025-12-15 15:15:00,SHORT,89451.07,87188.16,TP,2.595432682602783,2025-12
2025-12-16 13:30:00,SHORT,86353.01,87660.79,SL,-1.491864264513243,2025-12
2025-12-16 15:55:00,SHORT,86867.25,88170.69,SL,-1.4783143922317055,2025-12
2025-12-17 14:50:00,SHORT,87209.32,88533.71,SL,-1.4959160753570622,2025-12
2025-12-17 16:20:00,SHORT,88707.75,86482.76,TP,2.572755541104388,2025-12
2025-12-18 09:30:00,SHORT,85938.46,87228.39,SL,-1.4787960662807076,2025-12
2025-12-18 17:15:00,SHORT,88124.79,85913.86,TP,2.573426452961125,2025-12
2025-12-18 19:45:00,SHORT,86723.23,84533.1,TP,2.5908549432115846,2025-12
2025-12-19 02:50:00,SHORT,84582.65,85875.26,SL,-1.5052181501400974,2025-12
2025-12-23 06:15:00,SHORT,89677.67,87401.75,TP,2.6039753208602745,2025-12
2025-12-26 02:20:00,SHORT,87521.89,88836.01,SL,-1.4792649962554583,2025-12
2025-12-29 12:05:00,SHORT,89492.87,87245.24,TP,2.576220777202276,2025-12
2025-12-30 14:50:00,SHORT,87387.71,88699.99,SL,-1.4794590168499488,2025-12
2026-01-02 16:30:00,SHORT,88952.07,90295.98,SL,-1.4883386835161327,2026-01
2026-01-02 17:15:00,LONG,88720.0,90955.99,TP,2.5202772768259774,2026-01
2026-01-03 07:20:00,LONG,90853.02,89489.01,SL,-1.5013369946315636,2026-01
2026-01-05 01:35:00,LONG,90932.4,93214.0,TP,2.5091166624877426,2026-01
2026-01-06 17:55:00,LONG,93000.0,91600.01,SL,-1.5053655913978559,2026-01
2026-01-12 08:35:00,LONG,92112.79,90691.69,SL,-1.5427824952430558,2026-01
2026-01-13 15:35:00,LONG,90754.54,93060.62,TP,2.5410078658323787,2026-01
2026-01-13 22:10:00,LONG,93593.05,96000.0,TP,2.5717187333888614,2026-01
2026-01-14 17:10:00,LONG,95329.81,97721.91,TP,2.5092885425870515,2026-01
2026-01-15 02:35:00,LONG,97597.46,96126.02,SL,-1.5076621871102036,2026-01
2026-01-16 15:15:00,LONG,96358.64,94902.48,SL,-1.5111877876234026,2026-01
2026-01-20 14:45:00,SHORT,92621.9,90300.9,TP,2.5702955341530442,2026-01
2026-01-20 22:30:00,SHORT,90321.0,88048.05,TP,2.5814881760584107,2026-01
2026-01-21 05:35:00,SHORT,88471.78,89811.71,SL,-1.49193239946106,2026-01
2026-01-25 19:20:00,SHORT,89060.73,86832.77,TP,2.5658055132872004,2026-01
2026-01-27 20:45:00,SHORT,87960.64,89295.16,SL,-1.4945042934017994,2026-01
2026-01-29 15:10:00,SHORT,87974.39,85761.0,TP,2.5808817527780636,2026-01
2026-01-30 01:35:00,SHORT,85270.0,83106.57,TP,2.603199722958127,2026-01
2026-01-30 19:00:00,SHORT,83044.68,84332.49,SL,-1.5270627014570715,2026-01
2026-01-31 14:25:00,SHORT,83940.0,81825.3,TP,2.5844084897947095,2026-01
2026-02-09 10:30:00,SHORT,70481.24,68710.91,TP,2.5764904001416955,2026-02
2026-02-10 14:15:00,SHORT,68487.42,69518.7,SL,-1.4834569691320465,2026-02
2026-02-11 04:40:00,SHORT,69120.03,67390.0,TP,2.5671909778898883,2026-02
2026-02-11 14:10:00,SHORT,67516.13,68537.0,SL,-1.4895166114653358,2026-02
2026-02-11 15:05:00,SHORT,67680.75,65978.71,TP,2.5796806272811335,2026-02
2026-02-11 21:25:00,SHORT,67150.26,68173.91,SL,-1.501527490501875,2026-02
2026-02-12 13:55:00,SHORT,67330.55,68343.0,SL,-1.4814245789619984,2026-02
2026-02-16 13:00:00,SHORT,69001.69,70037.35,SL,-1.4787252801540918,2026-02
2026-02-23 06:50:00,SHORT,64808.31,65786.1,SL,-1.4863170183367136,2026-02
2026-02-23 20:10:00,SHORT,65726.9,64070.61,TP,2.585101031502579,2026-02
2026-02-23 22:05:00,SHORT,63961.55,64939.54,SL,-1.506000812448005,2026-02
2026-02-24 04:10:00,SHORT,64656.02,63032.58,TP,2.5755569580048876,2026-02
2026-02-24 16:00:00,SHORT,63278.36,64244.76,SL,-1.5042471946350222,2026-02
2026-02-24 19:05:00,SHORT,63749.52,64727.1,SL,-1.5103102100974763,2026-02
2026-02-25 01:10:00,SHORT,64472.18,65445.52,SL,-1.4872522977890545,2026-02
2026-02-25 13:45:00,SHORT,65574.07,66563.2,SL,-1.4860012739772,2026-02
2026-02-28 06:35:00,SHORT,65594.67,63933.14,TP,2.598855616977369,2026-02
2026-02-28 13:55:00,SHORT,64201.7,65168.33,SL,-1.4832818333690656,2026-02
2026-02-28 17:55:00,SHORT,64432.82,65453.51,SL,-1.55941216903418,2026-02
2026-02-28 19:30:00,SHORT,65204.19,66200.0,SL,-1.504244712990932,2026-02
2026-03-01 20:30:00,SHORT,66967.55,65274.1,TP,2.594367444361545,2026-03
2026-03-03 04:40:00,LONG,69241.53,68200.01,SL,-1.5041839774482257,2026-03
2026-03-04 15:25:00,LONG,70982.06,72800.0,TP,2.561126008459036,2026-03
2026-03-05 07:50:00,LONG,72905.8,71805.83,SL,-1.508755133336448,2026-03
2026-03-05 16:05:00,LONG,72079.34,70952.19,SL,-1.5637629312366008,2026-03
2026-03-06 12:05:00,LONG,71072.27,69972.33,SL,-1.547635948591486,2026-03
2026-03-08 22:00:00,SHORT,68118.16,66376.0,TP,2.624683620585766,2026-03
2026-03-09 03:05:00,SHORT,66038.01,67055.89,SL,-1.517957632058875,2026-03
2026-03-10 02:30:00,LONG,68282.38,69992.87,TP,2.5050239900835214,2026-03
2026-03-11 12:05:00,LONG,70052.63,69000.03,SL,-1.502584556782527,2026-03
2026-03-13 16:25:00,LONG,72298.43,71206.4,SL,-1.510447737246856,2026-03
2026-03-13 17:55:00,LONG,72054.38,70924.09,SL,-1.568662446335678,2026-03
2026-03-16 03:30:00,LONG,71594.53,73393.83,TP,2.5131808254066357,2026-03
2026-03-17 01:10:00,LONG,73672.79,75639.0,TP,2.668841508513542,2026-03
2026-03-19 07:20:00,SHORT,71265.77,69479.79,TP,2.570502875728331,2026-03
2026-03-20 08:05:00,SHORT,69967.74,71024.96,SL,-1.4885189657269815,2026-03
2026-03-22 21:15:00,SHORT,69148.0,67419.08,TP,2.564437248327911,2026-03
2026-03-23 05:00:00,SHORT,67670.95,68700.0,SL,-1.4978893740902555,2026-03
2026-03-23 11:05:00,LONG,68545.52,70324.42,TP,2.5952097234071436,2026-03
2026-03-24 14:45:00,LONG,70769.99,69706.49,SL,-1.5027556171761547,2026-03
2026-03-27 09:10:00,SHORT,69333.77,67568.36,TP,2.6127761573612407,2026-03
2026-03-29 22:45:00,SHORT,66671.72,65000.01,TP,2.571861142790599,2026-03
2026-04-02 16:40:00,SHORT,66262.53,67274.42,SL,-1.5041229638248832,2026-04
2026-04-05 23:20:00,LONG,67264.42,68949.98,TP,2.5058716034420447,2026-04
2026-04-07 14:05:00,LONG,68922.7,67881.37,SL,-1.510866521479859,2026-04
2026-04-10 20:30:00,LONG,71509.8,73379.2,TP,2.614187146377134,2026-04
2026-04-13 22:15:00,LONG,72229.8,74149.99,TP,2.65844568308371,2026-04
2026-04-14 14:30:00,LONG,74109.27,75966.0,TP,2.505395074057537,2026-04
2026-04-14 17:30:00,LONG,75639.99,74489.44,SL,-1.5210869276952588,2026-04
2026-04-15 07:45:00,LONG,74665.68,73525.95,SL,-1.5264442780136722,2026-04
2026-04-18 10:05:00,LONG,77454.27,76280.0,SL,-1.5160816827787582,2026-04
2026-04-19 20:40:00,LONG,75651.78,74460.0,SL,-1.5753495819926466,2026-04
2026-04-21 17:15:00,LONG,76416.0,75257.01,SL,-1.516684987437189,2026-04
2026-04-27 15:20:00,LONG,77882.03,76666.0,SL,-1.561374299052043,2026-04
2026-04-29 15:05:00,LONG,77582.17,76400.01,SL,-1.5237521714074331,2026-04
2026-05-03 20:35:00,LONG,77275.24,79213.08,TP,2.507711396302348,2026-05
2026-05-05 03:35:00,LONG,79010.55,80987.99,TP,2.5027543790038242,2026-05
2026-05-07 17:25:00,LONG,80870.62,79656.85,SL,-1.5008788111182891,2026-05
2026-05-13 14:00:00,LONG,80775.54,79555.12,SL,-1.5108781693071949,2026-05
2026-05-14 16:00:00,LONG,79370.89,81449.0,TP,2.6182269091350685,2026-05
2026-05-15 05:35:00,LONG,81551.04,80324.01,SL,-1.5046160048970525,2026-05
2026-05-17 23:40:00,SHORT,79312.0,77304.15,TP,2.597337917822018,2026-05
2026-05-22 12:30:00,SHORT,77327.7,77432.23,EOD,-0.1349954663581232,2026-05
